candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00106-f6186a80951c458aab23733140b787c0,2021,Fernando Alejandro Larrazabal Breton,"6,745",1. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00107-4c0f46de407e413fb5b55cd90b114536,2021,Samuel Alejandro García Sepúlveda,"17,687",1. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00108-929dffca6a26462db34fc8fc350c6500,2021,Carolina Maria Garza Guerra,168,1. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00109-4ea64331ca6448f8b188e708472f39e1,2021,Virginia Daney Siller Tristan,115,1. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00110-79b21872a04a4184bbb925bcb1af8828,2021,Emilio Jacques Rivera,283,1. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00111-7b2bdf10f81548329373e83ea0a7933d,2021,Adrian Emilio De La Garza Santos,"24,763",1. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00112-f0fcb86e28f5424a93ef7768bc91821e,2021,Clara Luz Flores Carrales,"6,336",1. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00113-36861636e78d4bc2b3b80735db45aa26,2021,Fernando Alejandro Larrazabal Breton,"17,590",19. Santa Catarina,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00114-a46e396e9f394e9499fc85e3648bfad4,2021,Samuel Alejandro García Sepúlveda,"34,984",19. Santa Catarina,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00115-af2f9a11952c4c9fb6af9be331c7ce45,2021,Carolina Maria Garza Guerra,246,19. Santa Catarina,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00116-c719dbc64dda4af4b89e09b8148f9dbc,2021,Virginia Daney Siller Tristan,363,19. Santa Catarina,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00117-2a4ab9a2fec84838b3f0888ad44ba366,2021,Emilio Jacques Rivera,720,19. Santa Catarina,emilio jacques rivera,Fuerza por Mexico
GOB-00118-ed983f9c8f8a4a6eaaa2174c243acb1f,2021,Adrian Emilio De La Garza Santos,"14,659",19. Santa Catarina,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00119-80b5b96ff1734458a33cae9e942591d4,2021,Clara Luz Flores Carrales,"10,247",19. Santa Catarina,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00120-baa7abddbab64f71b3a512f3b94d8acc,2021,Fernando Alejandro Larrazabal Breton,"15,953",15. Guadalupe,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00121-f015ec2e768b455db8007f7065d64611,2021,Samuel Alejandro García Sepúlveda,"30,842",15. Guadalupe,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00122-98b2dbf07cda48f59a8279ad503705bd,2021,Carolina Maria Garza Guerra,334,15. Guadalupe,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00123-cb88f61877af492e9811b0cbfdf39104,2021,Virginia Daney Siller Tristan,214,15. Guadalupe,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00124-06c6bb75ad684399a1be376c414d3b44,2021,Emilio Jacques Rivera,560,15. Guadalupe,emilio jacques rivera,Fuerza por Mexico
GOB-00125-191f35a7c2cd4cd6a78948e432611f6c,2021,Adrian Emilio De La Garza Santos,"18,557",15. Guadalupe,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00126-5f40d33497894972af96f25721daf8d1,2021,Clara Luz Flores Carrales,"12,004",15. Guadalupe,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00127-2749c2702dff4b7e95b1905f2dd9272b,2021,Fernando Alejandro Larrazabal Breton,"20,846",23. Juárez,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00128-e2face87ddd9411880f8378b41081ebb,2021,Samuel Alejandro García Sepúlveda,"29,241",23. Juárez,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00129-868691875f6b4c0bbd3aa869bac7226e,2021,Carolina Maria Garza Guerra,378,23. Juárez,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00130-7066a6f1effd431394a687411620a79e,2021,Virginia Daney Siller Tristan,445,23. Juárez,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00131-33a00bbf98dc4cbebd73aebe5c7905f3,2021,Emilio Jacques Rivera,979,23. Juárez,emilio jacques rivera,Fuerza por Mexico
GOB-00132-9014102978114c06925d370d8f6f6ccd,2021,Adrian Emilio De La Garza Santos,"23,618",23. Juárez,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00133-b179dfe4a114402899dfe8b9a6a20008,2021,Clara Luz Flores Carrales,"19,847",23. Juárez,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00134-46705cc6b9e44b5c92aa27e36bc16ca0,2021,Fernando Alejandro Larrazabal Breton,"12,563",12. Guadalupe,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00135-639a484269774b0b91bda0c705e68674,2021,Samuel Alejandro García Sepúlveda,"29,877",12. Guadalupe,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00136-dec44af1e8a1400f82587951261a5d70,2021,Carolina Maria Garza Guerra,282,12. Guadalupe,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00137-4719179cff5c4192ba360957af44e23f,2021,Virginia Daney Siller Tristan,192,12. Guadalupe,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00138-95a132697f364e46ae039b80ce5a35cb,2021,Emilio Jacques Rivera,506,12. Guadalupe,emilio jacques rivera,Fuerza por Mexico
GOB-00139-912dd1bc8d114c4aae675fa53773722f,2021,Adrian Emilio De La Garza Santos,"20,954",12. Guadalupe,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00140-cf42e2f3a7e140a3b2e85d7892471d6e,2021,Clara Luz Flores Carrales,"10,052",12. Guadalupe,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00141-6348452afd2d424ba7d92d4ca824a576,2021,Fernando Alejandro Larrazabal Breton,"13,992",6. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00142-82fb63d6cd164ef09e1c971d0a06b662,2021,Samuel Alejandro García Sepúlveda,"33,941",6. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00143-00cfcb6d50b74c0b8f67bf1cc3d23587,2021,Carolina Maria Garza Guerra,198,6. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00144-8b3c2ad78c6c484b9882c62fa51a0d94,2021,Virginia Daney Siller Tristan,202,6. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00145-850f76b2ca214b6690459e4f30b2b2c3,2021,Emilio Jacques Rivera,516,6. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00146-77722093976f446ab650d780fa53f15e,2021,Adrian Emilio De La Garza Santos,"30,475",6. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00147-7ac752cc2c904080aa54ebc366706d38,2021,Clara Luz Flores Carrales,"10,662",6. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00148-8620087e379c451ea8b1786b65c43a85,2021,Fernando Alejandro Larrazabal Breton,"11,439",13. Guadalupe,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00149-2f400c5e711a4365903ed7caeb8890d3,2021,Samuel Alejandro García Sepúlveda,"26,636",13. Guadalupe,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00150-6240948130384eed83c1540fa761da85,2021,Carolina Maria Garza Guerra,325,13. Guadalupe,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00151-536c14f572a14314b10024322be841c3,2021,Virginia Daney Siller Tristan,181,13. Guadalupe,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00152-828626e196684b658c9aeb1b029ca48a,2021,Emilio Jacques Rivera,481,13. Guadalupe,emilio jacques rivera,Fuerza por Mexico
GOB-00153-7a4ca42391fb477e8664518cd4a6a212,2021,Adrian Emilio De La Garza Santos,"16,759",13. Guadalupe,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00154-ac55733d62eb4ca5b1584abd4d1a773c,2021,Clara Luz Flores Carrales,"10,076",13. Guadalupe,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00155-b4ce707d7f7c4044978a682b0f26b56f,2021,Fernando Alejandro Larrazabal Breton,"18,059",11. San Nicolás de los Garza,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00156-99e9aada9a73492293a567cbcdae84fe,2021,Samuel Alejandro García Sepúlveda,"28,485",11. San Nicolás de los Garza,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00157-16b33f856f8c4f9383897ac58cd53a56,2021,Carolina Maria Garza Guerra,198,11. San Nicolás de los Garza,carolina maria garza guerra,Partido Encuentro Solidario
